Date,Day,Cases_Guinea,Cases_Liberia,Cases_SierraLeone,Cases_Nigeria,Cases_Senegal,Cases_UnitedStates,Cases_Spain,Cases_Mali,Deaths_Guinea,Deaths_Liberia,Deaths_SierraLeone,Deaths_Nigeria,Deaths_Senegal,Deaths_UnitedStates,Deaths_Spain,Deaths_Mali
2015-01-05,289,2776.0,0.0,10030.0,0.0,0.0,0.0,0.0,0.0,1786.0,0.0,2977.0,0.0,0.0,0.0,0.0,0.0
2015-01-04,288,2775.0,0.0,9780.0,0.0,0.0,0.0,0.0,0.0,1781.0,0.0,2943.0,0.0,0.0,0.0,0.0,0.0
2015-01-03,287,2769.0,8166.0,9722.0,0.0,0.0,0.0,0.0,0.0,1767.0,3496.0,2915.0,0.0,0.0,0.0,0.0,0.0
2015-01-02,286,0.0,8157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3496.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-31,284,2730.0,8115.0,9633.0,0.0,0.0,0.0,0.0,0.0,1739.0,3471.0,2827.0,0.0,0.0,0.0,0.0,0.0
2014-12-28,281,2706.0,8018.0,9446.0,0.0,0.0,0.0,0.0,0.0,1708.0,3423.0,2758.0,0.0,0.0,0.0,0.0,0.0
2014-12-27,280,2695.0,0.0,9409.0,0.0,0.0,0.0,0.0,0.0,1697.0,0.0,2732.0,0.0,0.0,0.0,0.0,0.0
2014-12-24,277,2630.0,7977.0,9203.0,0.0,0.0,0.0,0.0,0.0,0.0,3413.0,2655.0,0.0,0.0,0.0,0.0,0.0
2014-12-21,273,2597.0,0.0,9004.0,0.0,0.0,0.0,0.0,0.0,1607.0,0.0,2582.0,0.0,0.0,0.0,0.0,0.0
2014-12-20,272,2571.0,7862.0,8939.0,0.0,0.0,0.0,0.0,0.0,1586.0,3384.0,2556.0,0.0,0.0,0.0,0.0,0.0
2014-12-18,271,0.0,7830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3376.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-14,267,2416.0,0.0,8356.0,0.0,0.0,0.0,0.0,0.0,1525.0,0.0,2085.0,0.0,0.0,0.0,0.0,0.0
2014-12-09,262,0.0,7797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3290.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-07,260,2292.0,0.0,7897.0,20.0,1.0,4.0,1.0,7.0,1428.0,0.0,1768.0,8.0,0.0,1.0,0.0,6.0
2014-12-03,256,0.0,7719.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3177.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-30,253,2164.0,0.0,7312.0,20.0,1.0,4.0,1.0,7.0,1327.0,0.0,1583.0,8.0,0.0,1.0,0.0,6.0
2014-11-28,251,0.0,7635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3145.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-23,246,2134.0,0.0,6599.0,20.0,1.0,4.0,1.0,7.0,1260.0,0.0,1398.0,8.0,0.0,1.0,0.0,6.0
2014-11-22,245,0.0,7168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3016.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-18,241,2047.0,7082.0,6190.0,20.0,1.0,4.0,1.0,6.0,1214.0,2963.0,1267.0,8.0,0.0,1.0,0.0,6.0
2014-11-16,239,1971.0,0.0,6073.0,20.0,1.0,4.0,1.0,5.0,1192.0,0.0,1250.0,8.0,0.0,1.0,0.0,5.0
2014-11-15,238,0.0,7069.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2964.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-11,234,1919.0,0.0,5586.0,20.0,1.0,4.0,1.0,4.0,1166.0,0.0,1187.0,8.0,0.0,1.0,0.0,3.0
2014-11-10,233,0.0,6878.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2812.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-09,232,1878.0,0.0,5368.0,20.0,1.0,4.0,1.0,1.0,1142.0,0.0,1169.0,8.0,0.0,1.0,0.0,1.0
2014-11-08,231,0.0,6822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2836.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-04,227,0.0,6619.0,4862.0,20.0,1.0,4.0,1.0,1.0,0.0,2766.0,1130.0,8.0,0.0,1.0,0.0,1.0
2014-11-03,226,1760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-02,225,1731.0,0.0,4759.0,20.0,1.0,4.0,1.0,1.0,1041.0,0.0,1070.0,8.0,0.0,1.0,0.0,1.0
2014-10-31,222,0.0,6525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2697.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-29,220,1667.0,0.0,5338.0,20.0,1.0,4.0,1.0,1.0,1018.0,0.0,1510.0,8.0,0.0,1.0,0.0,1.0
2014-10-27,218,1906.0,0.0,5235.0,20.0,1.0,4.0,1.0,1.0,997.0,0.0,1500.0,8.0,0.0,1.0,0.0,1.0
2014-10-25,216,0.0,6535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2413.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-22,214,0.0,0.0,3896.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,1281.0,0.0,0.0,1.0,0.0,1.0
2014-10-21,213,1553.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-19,211,1540.0,0.0,3706.0,20.0,1.0,3.0,1.0,0.0,904.0,0.0,1259.0,8.0,0.0,1.0,0.0,0.0
2014-10-18,210,0.0,4665.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2705.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-14,206,1519.0,0.0,3410.0,20.0,1.0,3.0,1.0,0.0,862.0,0.0,1200.0,8.0,0.0,0.0,1.0,0.0
2014-10-13,205,0.0,4262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2484.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-12,204,1472.0,0.0,3252.0,20.0,1.0,2.0,1.0,0.0,843.0,0.0,1183.0,8.0,0.0,1.0,1.0,0.0
2014-10-11,203,0.0,4249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2458.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-08,200,0.0,0.0,2950.0,20.0,1.0,1.0,1.0,0.0,0.0,0.0,930.0,8.0,0.0,1.0,1.0,0.0
2014-10-07,199,1350.0,4076.0,0.0,0.0,0.0,0.0,0.0,0.0,778.0,2316.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-05,197,1298.0,0.0,2789.0,20.0,1.0,1.0,0.0,0.0,768.0,0.0,879.0,8.0,0.0,0.0,0.0,0.0
2014-10-04,196,0.0,3924.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2210.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-01,193,1199.0,3834.0,2437.0,20.0,1.0,1.0,0.0,0.0,739.0,2069.0,623.0,8.0,0.0,0.0,0.0,0.0
2014-09-28,190,1157.0,3696.0,2304.0,20.0,1.0,0.0,0.0,0.0,710.0,1998.0,622.0,8.0,0.0,0.0,0.0,0.0
2014-09-23,185,1074.0,3458.0,2021.0,20.0,1.0,0.0,0.0,0.0,648.0,1830.0,605.0,8.0,0.0,0.0,0.0,0.0
2014-09-21,183,1022.0,3280.0,1940.0,20.0,1.0,0.0,0.0,0.0,635.0,1677.0,597.0,8.0,0.0,0.0,0.0,0.0
2014-09-20,182,0.0,0.0,1813.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593.0,0.0,0.0,0.0,0.0,0.0
2014-09-19,181,1008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-17,179,0.0,3022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1578.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-14,176,942.0,2710.0,1673.0,0.0,0.0,0.0,0.0,0.0,601.0,1459.0,562.0,0.0,0.0,0.0,0.0,0.0
2014-09-13,175,936.0,0.0,1620.0,21.0,1.0,0.0,0.0,0.0,595.0,1296.0,562.0,8.0,0.0,0.0,0.0,0.0
2014-09-10,172,899.0,0.0,1478.0,21.0,1.0,0.0,0.0,0.0,568.0,0.0,536.0,8.0,0.0,0.0,0.0,0.0
2014-09-09,171,0.0,2407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-07,169,861.0,2081.0,1424.0,21.0,3.0,0.0,0.0,0.0,557.0,1137.0,524.0,8.0,0.0,0.0,0.0,0.0
2014-09-05,167,812.0,1871.0,1261.0,22.0,1.0,0.0,0.0,0.0,517.0,1089.0,491.0,8.0,0.0,0.0,0.0,0.0
2014-08-31,162,771.0,1698.0,1216.0,21.0,1.0,0.0,0.0,0.0,494.0,871.0,476.0,7.0,0.0,0.0,0.0,0.0
2014-08-26,157,648.0,1378.0,1026.0,17.0,0.0,0.0,0.0,0.0,430.0,694.0,422.0,6.0,0.0,0.0,0.0,0.0
2014-08-20,151,607.0,1082.0,910.0,16.0,0.0,0.0,0.0,0.0,406.0,624.0,392.0,5.0,0.0,0.0,0.0,0.0
2014-08-18,149,579.0,972.0,907.0,15.0,0.0,0.0,0.0,0.0,396.0,576.0,374.0,4.0,0.0,0.0,0.0,0.0
2014-08-16,147,543.0,834.0,848.0,15.0,0.0,0.0,0.0,0.0,394.0,466.0,365.0,4.0,0.0,0.0,0.0,0.0
2014-08-13,144,519.0,786.0,810.0,12.0,0.0,0.0,0.0,0.0,380.0,413.0,348.0,4.0,0.0,0.0,0.0,0.0
2014-08-11,142,510.0,670.0,783.0,12.0,0.0,0.0,0.0,0.0,377.0,355.0,334.0,3.0,0.0,0.0,0.0,0.0
2014-08-09,140,506.0,599.0,730.0,13.0,0.0,0.0,0.0,0.0,373.0,323.0,315.0,2.0,0.0,0.0,0.0,0.0
2014-08-06,137,495.0,554.0,717.0,13.0,0.0,0.0,0.0,0.0,367.0,294.0,298.0,2.0,0.0,0.0,0.0,0.0
2014-08-04,135,495.0,516.0,691.0,9.0,0.0,0.0,0.0,0.0,363.0,282.0,286.0,1.0,0.0,0.0,0.0,0.0
2014-08-01,132,485.0,468.0,646.0,4.0,0.0,0.0,0.0,0.0,358.0,255.0,273.0,1.0,0.0,0.0,0.0,0.0
2014-07-30,129,472.0,391.0,574.0,3.0,0.0,0.0,0.0,0.0,346.0,227.0,252.0,1.0,0.0,0.0,0.0,0.0
2014-07-27,126,460.0,329.0,533.0,1.0,0.0,0.0,0.0,0.0,339.0,156.0,233.0,1.0,0.0,0.0,0.0,0.0
2014-07-23,123,427.0,249.0,525.0,0.0,0.0,0.0,0.0,0.0,319.0,129.0,224.0,0.0,0.0,0.0,0.0,0.0
2014-07-20,120,415.0,224.0,454.0,0.0,0.0,0.0,0.0,0.0,314.0,127.0,219.0,0.0,0.0,0.0,0.0,0.0
2014-07-17,117,410.0,196.0,442.0,0.0,0.0,0.0,0.0,0.0,310.0,116.0,206.0,0.0,0.0,0.0,0.0,0.0
2014-07-14,114,411.0,174.0,397.0,0.0,0.0,0.0,0.0,0.0,310.0,106.0,197.0,0.0,0.0,0.0,0.0,0.0
2014-07-12,112,406.0,172.0,386.0,0.0,0.0,0.0,0.0,0.0,304.0,105.0,194.0,0.0,0.0,0.0,0.0,0.0
2014-07-08,108,409.0,142.0,337.0,0.0,0.0,0.0,0.0,0.0,309.0,88.0,142.0,0.0,0.0,0.0,0.0,0.0
2014-07-06,106,408.0,131.0,305.0,0.0,0.0,0.0,0.0,0.0,307.0,84.0,127.0,0.0,0.0,0.0,0.0,0.0
2014-07-02,102,412.0,115.0,252.0,0.0,0.0,0.0,0.0,0.0,305.0,75.0,101.0,0.0,0.0,0.0,0.0,0.0
2014-06-30,100,413.0,107.0,239.0,0.0,0.0,0.0,0.0,0.0,303.0,65.0,99.0,0.0,0.0,0.0,0.0,0.0
2014-06-22,92,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-20,90,390.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0
2014-06-19,89,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-18,88,390.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,267.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0
2014-06-17,87,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0
2014-06-16,86,398.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-10,80,351.0,13.0,89.0,0.0,0.0,0.0,0.0,0.0,226.0,24.0,7.0,0.0,0.0,0.0,0.0,0.0
2014-06-05,75,0.0,13.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
2014-06-03,73,344.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0
2014-06-01,71,328.0,13.0,79.0,0.0,0.0,0.0,0.0,0.0,208.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0
2014-05-28,67,291.0,13.0,50.0,0.0,0.0,0.0,0.0,0.0,193.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0
2014-05-27,66,281.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0,186.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0
2014-05-23,62,258.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-12,51,248.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-10,49,233.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-07,46,236.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-05,44,235.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-03,42,231.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-01,40,226.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-26,35,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-24,33,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-23,32,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-22,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-21,30,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-20,29,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-17,26,203.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-16,25,197.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-15,24,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-14,23,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-11,20,159.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,106.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0
2014-04-09,18,158.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,101.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0
2014-04-07,16,151.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,95.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0
2014-04-04,13,143.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,86.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0
2014-04-01,10,127.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,83.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,9,122.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,80.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
2014-03-29,7,112.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-28,6,112.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,70.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
2014-03-27,5,103.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,66.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0
2014-03-26,4,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-25,3,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-24,2,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-22,0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
