,,,10 FT,,,20 FT,,,40 FT,,,기타,,,TEU,,
조회년도,조회월,국적선구분,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계
합계,,,"1,177,373","70,632","1,248,005","22,276,334","5,622,856","27,899,190","29,392,149","6,414,967","35,807,116","149,010","74,293","223,303","81,984,567","18,655,264","100,639,831"
2019,01,계,"52,492","3,058","55,550","556,802","141,703","698,505","680,593","164,340","844,933","4,081","1,158","5,239","1,953,416","474,518","2,427,934"
,,국적선,"52,311","2,888","55,199","87,732","21,739","109,471","74,989","20,804","95,793",37,45,82,"263,949","64,892","328,841"
,,외국선,181,170,351,"469,070","119,964","589,034","605,604","143,536","749,140","4,044","1,113","5,157","1,689,468","409,625","2,099,093"
,02,계,"30,835","1,798","32,633","483,088","121,626","604,714","617,547","146,612","764,159","3,622","1,792","5,414","1,741,749","419,781","2,161,530"
,,국적선,"30,626","1,670","32,296","75,591","21,963","97,554","68,532","18,237","86,769",67,23,90,"228,119","59,324","287,443"
,,외국선,209,128,337,"407,497","99,663","507,160","549,015","128,375","677,390","3,555","1,769","5,324","1,513,630","360,457","1,874,088"
,03,계,"36,597","1,815","38,412","597,554","144,675","742,229","712,865","160,743","873,608","3,383","1,430","4,813","2,049,194","470,286","2,519,480"
,,국적선,"36,363","1,497","37,860","95,881","24,001","119,882","84,342","20,159","104,501",80,32,112,"282,927","65,140","348,066"
,,외국선,234,318,552,"501,673","120,674","622,347","628,523","140,584","769,107","3,303","1,398","4,701","1,766,268","405,147","2,171,414"
,04,계,"34,284","1,261","35,545","571,739","148,318","720,057","704,973","166,353","871,326","3,597","1,357","4,954","2,006,920","484,708","2,491,628"
,,국적선,"34,094","1,008","35,102","89,273","24,412","113,685","80,235","19,936","100,171",54,81,135,"266,912","64,970","331,882"
,,외국선,190,253,443,"482,466","123,906","606,372","624,738","146,417","771,155","3,543","1,276","4,819","1,740,009","419,738","2,159,746"
,05,계,"29,150","1,640","30,790","581,833","158,326","740,159","720,647","169,704","890,351","4,153","1,306","5,459","2,047,046","501,493","2,548,539"
,,국적선,"28,993","1,479","30,472","84,376","26,441","110,817","77,474","21,664","99,138",35,48,83,"253,899","70,617","324,516"
,,외국선,157,161,318,"497,457","131,885","629,342","643,173","148,040","791,213","4,118","1,258","5,376","1,793,147","430,876","2,224,023"
,06,계,"30,804","1,708","32,512","577,475","147,089","724,564","703,526","155,191","858,717","4,036","1,149","5,185","2,009,010","460,910","2,469,920"
,,국적선,"30,667","1,587","32,254","82,479","22,428","104,907","75,507","18,595","94,102",23,46,69,"248,878","60,515","309,393"
,,외국선,137,121,258,"494,996","124,661","619,657","628,019","136,596","764,615","4,013","1,103","5,116","1,760,132","400,395","2,160,527"
,07,계,"27,083","1,778","28,861","571,946","157,648","729,594","710,558","165,636","876,194","4,189","1,630","5,819","2,016,029","493,477","2,509,505"
,,국적선,"26,927","1,650","28,577","87,745","24,608","112,353","81,946","20,468","102,414",200,114,314,"265,551","66,626","332,176"
,,외국선,156,128,284,"484,201","133,040","617,241","628,612","145,168","773,780","3,989","1,516","5,505","1,750,478","426,851","2,177,329"
,08,계,"28,321","1,882","30,203","555,742","151,597","707,339","685,625","155,283","840,908","3,836","1,869","5,705","1,949,784","467,309","2,417,093"
,,국적선,"28,171","1,697","29,868","85,994","23,511","109,505","74,186","20,914","95,100",110,129,239,"248,699","66,478","315,177"
,,외국선,150,185,335,"469,748","128,086","597,834","611,439","134,369","745,808","3,726","1,740","5,466","1,701,085","400,832","2,101,916"
,09,계,"24,587","1,177","25,764","521,693","134,331","656,024","641,397","151,556","792,953","3,559","2,228","5,787","1,824,788","443,045","2,267,833"
,,국적선,"24,441","1,043","25,484","84,170","23,580","107,750","72,615","17,557","90,172",126,36,162,"241,904","59,297","301,201"
,,외국선,146,134,280,"437,523","110,751","548,274","568,782","133,999","702,781","3,433","2,192","5,625","1,582,884","383,748","1,966,632"
,10,계,"31,664","1,170","32,834","557,466","143,378","700,844","721,460","157,535","878,995","3,908","2,644","6,552","2,025,011","464,982","2,489,993"
,,국적선,"31,468",960,"32,428","87,906","22,290","110,196","77,732","16,578","94,310",91,80,171,"259,309","56,106","315,415"
,,외국선,196,210,406,"469,560","121,088","590,648","643,728","140,957","784,685","3,817","2,564","6,381","1,765,702","408,876","2,174,578"
,11,계,"37,621","1,142","38,763","546,707","149,454","696,161","690,064","163,536","853,600","3,560","2,068","5,628","1,953,656","481,750","2,435,406"
,,국적선,"37,456",945,"38,401","90,884","25,098","115,982","82,945","20,355","103,300",147,86,233,"275,833","66,474","342,307"
,,외국선,165,197,362,"455,823","124,356","580,179","607,119","143,181","750,300","3,413","1,982","5,395","1,677,823","415,276","2,093,099"
,12,계,"35,259","1,937","37,196","563,428","143,592","707,020","703,502","170,873","874,375","3,690","1,817","5,507","1,996,364","490,395","2,486,759"
,,국적선,"35,064","1,740","36,804","91,606","28,021","119,627","84,400","21,331","105,731",114,81,195,"278,195","71,735","349,930"
,,외국선,195,197,392,"471,822","115,571","587,393","619,102","149,542","768,644","3,576","1,736","5,312","1,718,170","418,660","2,136,829"
2020,01,계,"36,088","2,456","38,544","513,537","134,646","648,183","673,737","172,727","846,464","4,393","1,895","6,288","1,888,939","485,592","2,374,531"
,,국적선,"35,939","2,322","38,261","74,933","22,783","97,716","70,727","21,193","91,920",124,27,151,"234,636","66,391","301,026"
,,외국선,149,134,283,"438,604","111,863","550,467","603,010","151,534","754,544","4,269","1,868","6,137","1,654,304","419,201","2,073,505"
,02,계,"36,085","1,031","37,116","481,492","144,998","626,490","613,492","170,981","784,473","3,240","1,897","5,137","1,733,809","491,744","2,225,552"
,,국적선,"35,911",858,"36,769","71,721","24,333","96,054","59,664","15,863","75,527",71,50,121,"209,164","56,601","265,765"
,,외국선,174,173,347,"409,771","120,665","530,436","553,828","155,118","708,946","3,169","1,847","5,016","1,524,644","435,143","1,959,788"
,03,계,"33,069","1,363","34,432","604,850","156,825","761,675","727,011","173,565","900,576","3,675","1,813","5,488","2,083,674","508,716","2,592,390"
,,국적선,"32,851","1,284","34,135","85,338","22,046","107,384","74,545","18,718","93,263",36,46,82,"250,935","60,228","311,162"
,,외국선,218,79,297,"519,512","134,779","654,291","652,466","154,847","807,313","3,639","1,767","5,406","1,832,740","448,488","2,281,228"
,04,계,"30,641","1,353","31,994","553,204","154,134","707,338","668,234","185,683","853,917","3,078","2,251","5,329","1,911,904","531,241","2,443,145"
,,국적선,"30,491","1,297","31,788","78,340","22,897","101,237","69,938","21,105","91,043",78,39,117,"233,637","65,843","299,480"
,,외국선,150,56,206,"474,864","131,237","606,101","598,296","164,578","762,874","3,000","2,212","5,212","1,678,267","465,398","2,143,665"
,05,계,"24,149","1,963","26,112","528,076","150,810","678,886","653,397","179,603","833,000","3,163","1,603","4,766","1,854,059","514,604","2,368,664"
,,국적선,"24,024","1,939","25,963","79,736","25,354","105,090","72,625","23,406","96,031",88,81,169,"237,196","73,318","310,514"
,,외국선,125,24,149,"448,340","125,456","573,796","580,772","156,197","736,969","3,075","1,522","4,597","1,616,863","441,287","2,058,150"
,06,계,"24,463","2,775","27,238","525,352","137,280","662,632","673,737","167,972","841,709","3,532","1,690","5,222","1,893,001","478,414","2,371,415"
,,국적선,"24,346","2,751","27,097","78,792","22,615","101,407","73,736","22,074","95,810",55,78,133,"238,561","68,314","306,875"
,,외국선,117,24,141,"446,560","114,665","561,225","600,001","145,898","745,899","3,477","1,612","5,089","1,654,440","410,100","2,064,540"
,07,계,"24,335","2,265","26,600","536,562","130,668","667,230","686,516","168,212","854,728","4,405","1,837","6,242","1,931,668","472,358","2,404,026"
,,국적선,"24,209","2,235","26,444","84,208","23,276","107,484","75,612","24,212","99,824",116,28,144,"247,798","72,881","320,678"
,,외국선,126,30,156,"452,354","107,392","559,746","610,904","144,000","754,904","4,289","1,809","6,098","1,683,870","399,477","2,083,348"
,08,계,"21,677","3,448","25,125","507,690","128,807","636,497","689,791","148,420","838,211","4,498","1,598","6,096","1,908,231","430,967","2,339,198"
,,국적선,"21,526","3,393","24,919","86,290","23,746","110,036","81,192","23,290","104,482",170,37,207,"259,820","72,106","331,925"
,,외국선,151,55,206,"421,400","105,061","526,461","608,599","125,130","733,729","4,328","1,561","5,889","1,648,412","358,861","2,007,272"
,09,계,"22,215","2,740","24,955","516,962","122,641","639,603","710,171","144,548","854,719","4,088","1,937","6,025","1,957,610","417,465","2,375,075"
,,국적선,"22,062","2,684","24,746","88,365","21,902","110,267","78,486","22,657","101,143",105,71,176,"256,604","68,718","325,322"
,,외국선,153,56,209,"428,597","100,739","529,336","631,685","121,891","753,576","3,983","1,866","5,849","1,701,005","348,748","2,049,753"
,10,계,"24,963","1,986","26,949","542,388","133,513","675,901","758,331","151,329","909,660","3,932","2,519","6,451","2,080,379","442,832","2,523,210"
,,국적선,"24,803","1,893","26,696","98,574","26,764","125,338","101,415","23,334","124,749",352,97,449,"314,598","74,597","389,194"
,,외국선,160,93,253,"443,814","106,749","550,563","656,916","127,995","784,911","3,580","2,422","6,002","1,765,781","368,235","2,134,016"
,11,계,"27,881","2,105","29,986","573,066","127,215","700,281","781,065","144,838","925,903","5,392","1,942","7,334","2,161,273","422,313","2,583,586"
,,국적선,"27,704","2,014","29,718","97,143","24,996","122,139","89,611","25,524","115,135",208,67,275,"290,689","77,202","367,891"
,,외국선,177,91,268,"475,923","102,219","578,142","691,454","119,314","810,768","5,184","1,875","7,059","1,870,584","345,111","2,215,695"
,12,계,"36,592","1,005","37,597","564,782","133,923","698,705","735,368","148,375","883,743","4,573","1,983","6,556","2,064,103","435,637","2,499,741"
,,국적선,"36,386",922,"37,308","95,081","24,294","119,375","81,160","23,410","104,570",106,101,207,"275,833","71,802","347,635"
,,외국선,206,83,289,"469,701","109,629","579,330","654,208","124,965","779,173","4,467","1,882","6,349","1,788,271","363,835","2,152,106"
2021,01,계,"34,578",784,"35,362","566,582","126,904","693,486","727,116","150,769","877,885","3,735","2,044","5,779","2,046,507","433,433","2,479,940"
,,국적선,"34,415",700,"35,115","94,119","26,904","121,023","83,565","21,084","104,649",278,143,421,"279,082","69,744","348,826"
,,외국선,163,84,247,"472,463","100,000","572,463","643,551","129,685","773,236","3,457","1,901","5,358","1,767,425","363,689","2,131,114"
,02,계,"28,208",587,"28,795","484,964","129,720","614,684","659,102","130,134","789,236","2,404","1,010","3,414","1,822,681","392,554","2,215,235"
,,국적선,"28,058",539,"28,597","90,647","25,967","116,614","79,931","19,231","99,162",263,71,334,"265,130","64,858","329,988"
,,외국선,150,48,198,"394,317","103,753","498,070","579,171","110,903","690,074","2,141",939,"3,080","1,557,551","327,696","1,885,247"
,03,계,"37,054","1,161","38,215","588,022","138,359","726,381","775,512","163,905","939,417","2,912","1,488","4,400","2,164,125","470,098","2,634,223"
,,국적선,"36,814","1,078","37,892","98,971","25,409","124,380","88,867","19,811","108,678",48,39,87,"295,220","65,658","360,878"
,,외국선,240,83,323,"489,051","112,950","602,001","686,645","144,094","830,739","2,864","1,449","4,313","1,868,905","404,440","2,273,345"
,04,계,"27,016",855,"27,871","565,539","143,030","708,569","779,189","150,212","929,401","3,762","2,041","5,803","2,145,890","448,474","2,594,363"
,,국적선,"26,840",817,"27,657","93,531","29,568","123,099","92,688","20,576","113,264",176,86,262,"292,723","71,322","364,045"
,,외국선,176,38,214,"472,008","113,462","585,470","686,501","129,636","816,137","3,586","1,955","5,541","1,853,167","377,152","2,230,318"
,05,계,"21,994","1,436","23,430","569,304","143,370","712,674","790,647","166,096","956,743","3,783","2,452","6,235","2,170,107","481,797","2,651,904"
,,국적선,"21,819","1,363","23,182","99,331","28,561","127,892","92,666","23,284","115,950",241,176,417,"296,115","76,207","372,321"
,,외국선,175,73,248,"469,973","114,809","584,782","697,981","142,812","840,793","3,542","2,276","5,818","1,873,992","405,591","2,279,583"
,06,계,"20,889","1,590","22,479","546,273","137,140","683,413","755,037","145,315","900,352","3,365","2,148","5,513","2,074,363","433,398","2,507,761"
,,국적선,"20,771","1,557","22,328","90,023","25,204","115,227","85,218","19,814","105,032",64,52,116,"270,989","65,728","336,716"
,,외국선,118,33,151,"456,250","111,936","568,186","669,819","125,501","795,320","3,301","2,096","5,397","1,803,374","367,671","2,171,045"
,07,계,"20,895","1,462","22,357","557,144","139,467","696,611","780,870","154,245","935,115","3,624","2,085","5,709","2,137,486","453,379","2,590,865"
,,국적선,"20,725","1,417","22,142","102,645","32,015","134,660","104,511","25,199","129,710",310,132,442,"322,727","83,419","406,146"
,,외국선,170,45,215,"454,499","107,452","561,951","676,359","129,046","805,405","3,314","1,953","5,267","1,814,759","369,961","2,184,719"
,08,계,"19,222","1,125","20,347","531,036","128,367","659,403","744,535","137,095","881,630","3,601","1,740","5,341","2,037,819","407,035","2,444,854"
,,국적선,"19,061","1,068","20,129","93,412","24,990","118,402","88,039","19,326","107,365",259,52,311,"279,603","64,293","343,896"
,,외국선,161,57,218,"437,624","103,377","541,001","656,496","117,769","774,265","3,342","1,688","5,030","1,758,216","342,742","2,100,958"
,09,계,"16,842","1,323","18,165","497,595","121,895","619,490","741,266","125,633","866,899","3,493","2,134","5,627","1,996,407","378,624","2,375,031"
,,국적선,"16,678","1,260","17,938","90,198","22,648","112,846","80,693","19,973","100,666",93,120,213,"260,132","63,494","323,626"
,,외국선,164,63,227,"407,397","99,247","506,644","660,573","105,660","766,233","3,400","2,014","5,414","1,736,275","315,130","2,051,405"
,10,계,"23,235","1,560","24,795","552,019","134,597","686,616","798,537","149,893","948,430","3,404","1,729","5,133","2,168,370","439,053","2,607,423"
,,국적선,"23,040","1,506","24,546","89,582","21,733","111,315","86,551","17,324","103,875",200,48,248,"274,654","57,242","331,896"
,,외국선,195,54,249,"462,437","112,864","575,301","711,986","132,569","844,555","3,204","1,681","4,885","1,893,716","381,811","2,275,527"
,11,계,"26,948",850,"27,798","526,922","121,512","648,434","741,002","133,427","874,429","3,065","1,541","4,606","2,029,296","392,258","2,421,555"
,,국적선,"26,763",801,"27,564","96,202","25,865","122,067","94,049","23,414","117,463",280,80,360,"298,312","73,274","371,585"
,,외국선,185,49,234,"430,720","95,647","526,367","646,953","110,013","756,966","2,785","1,461","4,246","1,730,985","318,985","2,049,970"
,12,계,"33,281",868,"34,149","547,663","127,227","674,890","755,597","150,928","906,525","2,876","1,630","4,506","2,081,967","433,185","2,515,151"
,,국적선,"33,106",811,"33,917","95,170","24,303","119,473","88,436","24,258","112,694",35,137,172,"288,674","73,533","362,207"
,,외국선,175,57,232,"452,493","102,924","555,417","667,161","126,670","793,831","2,841","1,493","4,334","1,793,293","359,652","2,152,945"
2022,01,계,"35,394","1,895","37,289","555,214","135,147","690,361","790,031","165,421","955,452","3,990","2,018","6,008","2,161,951","471,477","2,633,428"
,,국적선,"35,248","1,851","37,099","96,509","26,357","122,866","93,860","23,321","117,181",262,48,310,"302,443","74,033","376,475"
,,외국선,146,44,190,"458,705","108,790","567,495","696,171","142,100","838,271","3,728","1,970","5,698","1,859,508","397,445","2,256,953"
,02,계,"23,076","4,067","27,143","464,553","115,646","580,199","674,944","145,659","820,603","3,393","1,250","4,643","1,833,613","411,810","2,245,423"
,,국적선,"22,942","4,033","26,975","90,697","26,175","116,872","92,071","23,656","115,727",304,138,442,"286,994","75,814","362,808"
,,외국선,134,34,168,"373,856","89,471","463,327","582,873","122,003","704,876","3,089","1,112","4,201","1,546,619","335,996","1,882,615"
,03,계,"24,458","2,035","26,493","526,507","127,089","653,596","720,032","156,928","876,960","2,736","1,343","4,079","1,984,956","444,984","2,429,940"
,,국적선,"24,275","1,980","26,255","95,040","27,527","122,567","93,721","21,354","115,075",27,51,78,"294,680","71,340","366,020"
,,외국선,183,55,238,"431,467","99,562","531,029","626,311","135,574","761,885","2,709","1,292","4,001","1,690,276","373,645","2,063,920"
,04,계,"23,630","1,254","24,884","516,471","120,229","636,700","727,474","148,052","875,526","2,303","1,673","3,976","1,988,416","420,724","2,409,140"
,,국적선,"23,477","1,180","24,657","91,301","22,263","113,564","88,056","17,824","105,880",92,91,183,"279,359","58,706","338,064"
,,외국선,153,74,227,"425,170","97,966","523,136","639,418","130,228","769,646","2,211","1,582","3,793","1,709,057","362,019","2,071,076"
,05,계,"19,798","2,924","22,722","547,092","135,960","683,052","767,651","157,640","925,291","2,981","2,554","5,535","2,099,000","458,448","2,557,448"
,,국적선,"19,660","2,846","22,506","95,659","27,543","123,202","104,232","24,201","128,433",89,190,279,"314,153","77,796","391,949"
,,외국선,138,78,216,"451,433","108,417","559,850","663,419","133,439","796,858","2,892","2,364","5,256","1,784,847","380,652","2,165,499"
